date,equity,cash,n_positions
2022-03-31,10537042,0,10
2022-04-01,10491864,0,10
2022-04-06,10311789,0,10
2022-04-07,10081188,0,10
2022-04-08,10056334,0,10
2022-04-11,9803858,0,10
2022-04-12,9732047,0,10
2022-04-13,10063443,0,10
2022-04-14,10084095,0,10
2022-04-15,9808765,0,10
2022-04-18,9785408,0,10
2022-04-19,9875510,0,10
2022-04-20,9964219,0,10
2022-04-21,9979456,0,10
2022-04-22,9786806,0,10
2022-04-25,9451493,0,10
2022-04-26,9393461,0,10
2022-04-27,9351078,0,10
2022-04-28,9430791,0,10
2022-04-29,9618020,0,10
2022-05-03,9677994,0,10
2022-05-04,9690707,0,10
2022-05-05,9825494,0,10
2022-05-06,9593931,0,10
2022-05-09,9462530,0,10
2022-05-10,9614300,0,10
2022-05-11,9537373,0,10
2022-05-12,9405799,0,10
2022-05-13,9587773,0,10
2022-05-16,9590962,0,10
2022-05-17,9809235,0,10
2022-05-18,9834313,0,10
2022-05-19,9800199,0,10
2022-05-20,9806930,0,10
2022-05-23,9816179,0,10
2022-05-24,9611964,0,10
2022-05-25,9742036,0,10
2022-05-26,9577999,0,10
2022-05-27,9815967,0,10
2022-05-30,10152244,0,10
2022-05-31,10289920,0,10
2022-06-01,10254208,0,10
2022-06-02,10081137,0,10
2022-06-06,10094512,0,10
2022-06-07,10027157,0,10
2022-06-08,10208830,0,10
2022-06-09,10260637,0,10
2022-06-10,10291146,0,10
2022-06-13,9989271,0,10
2022-06-14,9991111,0,10
2022-06-15,9820202,0,10
2022-06-16,9573300,0,10
2022-06-17,9456087,0,10
2022-06-20,9256284,0,10
2022-06-21,9567887,0,10
2022-06-22,9124240,0,10
2022-06-23,9022826,0,10
2022-06-24,8993572,0,10
2022-06-27,9252130,0,10
2022-06-28,9028003,0,10
2022-06-29,8824547,0,10
2022-06-30,8460775,0,10
2022-07-01,8021652,0,10
2022-07-04,8008484,0,10
2022-07-05,8067178,0,10
2022-07-06,7784038,0,10
2022-07-07,8105994,0,10
2022-07-08,8186221,0,10
2022-07-11,8089815,0,10
2022-07-12,7840839,0,10
2022-07-13,8001530,0,10
2022-07-14,8182028,0,10
2022-07-15,8375833,0,10
2022-07-18,8658996,0,10
2022-07-19,8635405,0,10
2022-07-20,8809021,0,10
2022-07-21,8981090,0,10
2022-07-22,8931025,0,10
2022-07-25,8828631,0,10
2022-07-26,8720284,0,10
2022-07-27,8785314,0,10
2022-07-28,8736652,0,10
2022-07-29,8883894,0,10
2022-08-01,8798938,0,10
2022-08-02,8667124,0,10
2022-08-03,8720016,0,10
2022-08-04,8681972,0,10
2022-08-05,8872269,0,10
2022-08-08,8909829,0,10
2022-08-09,8877383,0,10
2022-08-10,8756606,0,10
2022-08-11,8968315,0,10
2022-08-12,9123560,0,10
2022-08-15,9244605,0,10
2022-08-16,9290025,0,10
2022-08-17,9256597,0,10
2022-08-18,9317788,0,10
2022-08-19,9352775,0,10
2022-08-22,9183900,0,10
2022-08-23,9111410,0,10
2022-08-24,9089807,0,10
2022-08-25,9189925,0,10
2022-08-26,9252947,0,10
2022-08-29,9132433,0,10
2022-08-30,9155592,0,10
2022-08-31,9261652,0,10
2022-09-01,9040700,0,10
2022-09-02,9019144,0,10
2022-09-05,8898825,0,10
2022-09-06,8862117,0,10
2022-09-07,8799876,0,10
2022-09-08,8947255,0,10
2022-09-12,9192525,0,10
2022-09-13,9234960,0,10
2022-09-14,9098540,0,10
2022-09-15,9039134,0,10
2022-09-16,8868195,0,10
2022-09-19,8831723,0,10
2022-09-20,8847876,0,10
2022-09-21,8749872,0,10
2022-09-22,8759647,0,10
2022-09-23,8579316,0,10
2022-09-26,8268523,0,10
2022-09-27,8360357,0,10
2022-09-28,8033437,0,10
2022-09-29,8068108,0,10
2022-09-30,8184746,0,10
2022-10-03,8090444,0,10
2022-10-04,8360018,0,10
2022-10-05,8452094,0,10
2022-10-06,8515489,0,10
2022-10-07,8416224,0,10
2022-10-11,7911660,0,10
2022-10-12,7868298,0,10
2022-10-13,7628090,0,10
2022-10-14,7970546,0,10
2022-10-17,7981660,0,10
2022-10-18,8002440,0,10
2022-10-19,7948255,0,10
2022-10-20,7918076,0,10
2022-10-21,7781149,0,10
2022-10-24,7882152,0,10
2022-10-25,7716528,0,10
2022-10-26,7723053,0,10
2022-10-27,7934652,0,10
2022-10-28,7796867,0,10
2022-10-31,7968866,0,10
2022-11-01,8020251,0,10
2022-11-02,8088253,0,10
2022-11-03,8120314,0,10
2022-11-04,8122548,0,10
2022-11-07,8408698,0,10
2022-11-08,8427769,0,10
2022-11-09,8690128,0,10
2022-11-10,8689261,0,10
2022-11-11,9026795,0,10
2022-11-14,9053461,0,10
2022-11-15,9289634,0,10
2022-11-16,9305296,0,10
2022-11-17,9257723,0,10
2022-11-18,9233282,0,10
2022-11-21,9165711,0,10
2022-11-22,9146958,0,10
2022-11-23,9161534,0,10
2022-11-24,9329424,0,10
2022-11-25,9219171,0,10
2022-11-28,9165391,0,10
2022-11-29,9175057,0,10
2022-11-30,9338597,0,10
2022-12-01,9429664,0,10
2022-12-02,9464662,0,10
2022-12-05,9563827,0,10
2022-12-06,9425173,0,10
2022-12-07,9202162,0,10
2022-12-08,9209044,0,10
2022-12-09,9315407,0,10
2022-12-12,9276082,0,10
2022-12-13,9203648,0,10
2022-12-14,9367983,0,10
2022-12-15,9365424,0,10
2022-12-16,9203377,0,10
2022-12-19,9132951,0,10
2022-12-20,8834439,0,10
2022-12-21,8815004,0,10
2022-12-22,8875268,0,10
2022-12-23,8775357,0,10
2022-12-26,8689333,0,10
2022-12-27,8745506,0,10
2022-12-28,8543200,0,10
2022-12-29,8582263,0,10
2022-12-30,8555369,0,10
2023-01-03,8748328,0,10
2023-01-04,8733287,0,10
2023-01-05,8736283,0,10
2023-01-06,8854922,0,10
2023-01-09,9079674,0,10
2023-01-10,9150718,0,10
2023-01-11,9107389,0,10
2023-01-12,9097950,0,10
2023-01-13,9089362,0,10
