date,equity,cash,n_positions
2021-12-07,1040970,0,3
2021-12-08,1042442,0,3
2021-12-09,1035422,0,3
2021-12-10,1046272,0,3
2021-12-13,1035490,0,3
2021-12-14,1014893,0,3
2021-12-15,1029321,0,3
2021-12-16,1038272,0,3
2021-12-17,1026027,0,3
2021-12-20,1012023,0,3
2021-12-21,1022423,0,3
2021-12-22,1030463,0,3
2021-12-23,1050076,0,3
2021-12-24,1046541,0,3
2021-12-27,1049290,0,3
2021-12-28,1068095,0,3
2021-12-29,1062766,0,3
2021-12-30,1060645,0,3
2022-01-03,1020919,0,3
2022-01-04,1032374,0,3
2022-01-05,1018998,0,3
2022-01-06,1009011,0,3
2022-01-07,988285,0,3
2022-01-10,1000443,0,3
2022-01-11,1016074,0,3
2022-01-12,1001684,0,3
2022-01-13,999989,0,3
2022-01-14,988446,0,3
2022-01-17,1006798,0,3
2022-01-18,1002745,0,3
2022-01-19,1002984,0,3
2022-01-20,997215,0,3
2022-01-21,972091,0,3
2022-01-24,980425,0,3
2022-01-25,953219,0,3
2022-01-26,956488,0,3
2022-02-07,961390,0,3
2022-02-08,955302,0,3
2022-02-09,958921,0,3
2022-02-10,960344,0,3
2022-02-11,955208,0,3
2022-02-14,924885,0,3
2022-02-15,916237,0,3
2022-02-16,959351,0,3
2022-02-17,964851,0,3
2022-02-18,962581,0,3
2022-02-21,936719,0,3
2022-02-22,602612,0,3
2022-02-23,603378,0,3
2022-02-24,595775,0,3
2022-02-25,610612,0,3
2022-03-01,624265,0,3
2022-03-02,633088,0,3
2022-03-03,640084,0,3
2022-03-04,642012,0,3
2022-03-07,588503,0,3
2022-03-08,565105,0,3
2022-03-09,566607,0,3
2022-03-10,601431,0,3
2022-03-11,595837,0,3
2022-03-14,582843,0,3
2022-03-15,569979,0,3
2022-03-16,564806,0,3
2022-03-17,602848,0,3
2022-03-18,593261,0,3
2022-03-21,593501,0,3
2022-03-22,602676,0,3
2022-03-23,622453,0,3
2022-03-24,629168,0,3
2022-03-25,618947,0,3
2022-03-28,611170,0,3
2022-03-29,617895,0,3
2022-03-30,628796,0,3
2022-03-31,625723,0,3
2022-04-01,624890,0,3
2022-04-06,612935,0,3
2022-04-07,598679,0,3
2022-04-08,605654,0,3
2022-04-11,580221,0,3
2022-04-12,578163,0,3
2022-04-13,596700,0,3
2022-04-14,605182,0,3
2022-04-15,578632,0,3
2022-04-18,569096,0,3
2022-04-19,574109,0,3
2022-04-20,573734,0,3
2022-04-21,572449,0,3
2022-04-22,567640,0,3
2022-04-25,545286,0,3
2022-04-26,546969,0,3
2022-04-27,541270,0,3
2022-04-28,547652,0,3
2022-04-29,557971,0,3
