date,equity,cash,n_positions
2022-01-07,11346603,0,9
2022-01-10,11457624,0,9
2022-01-11,11429789,0,9
2022-01-12,11500988,0,9
2022-01-13,11440456,0,9
2022-01-14,11357230,0,9
2022-01-17,11634888,0,9
2022-01-18,11583968,0,9
2022-01-19,11467292,0,9
2022-01-20,11496929,0,9
2022-01-21,11117714,0,9
2022-01-24,11189137,0,9
2022-01-25,10970890,0,9
2022-01-26,10996800,0,9
2022-02-07,11194171,0,9
2022-02-08,11220491,0,9
2022-02-09,11513071,0,9
2022-02-10,11596308,0,9
2022-02-11,11645742,0,9
2022-02-14,11280940,0,9
2022-02-15,11272138,0,9
2022-02-16,11751057,0,9
2022-02-17,11836424,0,9
2022-02-18,11857964,0,9
2022-02-21,11658305,0,9
2022-02-22,9618163,0,9
2022-02-23,9651096,0,9
2022-02-24,9422275,0,9
2022-02-25,9560528,0,9
2022-03-01,9795889,0,9
2022-03-02,9853867,0,9
2022-03-03,9907699,0,9
2022-03-04,9803973,0,9
2022-03-07,9185657,0,9
2022-03-08,8923091,0,9
2022-03-09,8948584,0,9
2022-03-10,9420125,0,9
2022-03-11,9340413,0,9
2022-03-14,9247354,0,9
2022-03-15,8948875,0,9
2022-03-16,8820683,0,9
2022-03-17,9334398,0,9
2022-03-18,9209611,0,9
2022-03-21,9210394,0,9
2022-03-22,9248819,0,9
2022-03-23,9448529,0,9
2022-03-24,9485069,0,9
2022-03-25,9335720,0,9
2022-03-28,9255241,0,9
2022-03-29,9275343,0,9
2022-03-30,9380893,0,9
2022-03-31,9348441,0,9
2022-04-01,9307931,0,9
2022-04-06,9089662,0,9
2022-04-07,8867466,0,9
2022-04-08,8865073,0,9
2022-04-11,8548220,0,9
2022-04-12,8485717,0,9
2022-04-13,8768346,0,9
2022-04-14,8817693,0,9
2022-04-15,8501921,0,9
2022-04-18,8448207,0,9
2022-04-19,8526925,0,9
2022-04-20,8570273,0,9
2022-04-21,8558438,0,9
2022-04-22,8397996,0,9
2022-04-25,8065542,0,9
2022-04-26,8040126,0,9
2022-04-27,7957089,0,9
2022-04-28,8032740,0,9
2022-04-29,8193288,0,9
2022-05-03,8213082,0,9
2022-05-04,8224381,0,9
2022-05-05,8315519,0,9
2022-05-06,8152626,0,9
2022-05-09,8027358,0,9
2022-05-10,8157143,0,9
2022-05-11,8127518,0,9
2022-05-12,7992849,0,9
2022-05-13,8162743,0,9
2022-05-16,8144032,0,9
2022-05-17,8288003,0,9
2022-05-18,8326783,0,9
2022-05-19,8297361,0,9
2022-05-20,8260861,0,9
2022-05-23,8220575,0,9
2022-05-24,8026502,0,9
2022-05-25,8154189,0,9
2022-05-26,7973373,0,9
2022-05-27,8171695,0,9
2022-05-30,8423807,0,9
2022-05-31,8547925,0,9
2022-06-01,8553565,0,9
2022-06-02,8367168,0,9
2022-06-06,8355863,0,9
2022-06-07,8289544,0,9
2022-06-08,8534648,0,9
2022-06-09,8602404,0,9
2022-06-10,8634825,0,9
2022-06-13,8377778,0,9
2022-06-14,8390182,0,9
2022-06-15,8238215,0,9
2022-06-16,8031735,0,9
2022-06-17,7962682,0,9
2022-06-20,7823637,0,9
2022-06-21,8153843,0,9
2022-06-22,7748575,0,9
2022-06-23,7575571,0,9
2022-06-24,7477131,0,9
2022-06-27,7701107,0,9
2022-06-28,7547353,0,9
2022-06-29,7431133,0,9
2022-06-30,7139593,0,9
2022-07-01,6709563,0,9
2022-07-04,6669406,0,9
2022-07-05,6727962,0,9
2022-07-06,6469076,0,9
2022-07-07,6748301,0,9
2022-07-08,6840665,0,9
2022-07-11,6775835,0,9
2022-07-12,6583549,0,9
2022-07-13,6726357,0,9
2022-07-14,6868273,0,9
2022-07-15,7039304,0,9
2022-07-18,7229779,0,9
2022-07-19,7224198,0,9
2022-07-20,7393287,0,9
2022-07-21,7500750,0,9
2022-07-22,7478328,0,9
2022-07-25,7395218,0,9
2022-07-26,7285988,0,9
2022-07-27,7387840,0,9
2022-07-28,7268635,0,9
2022-07-29,7372844,0,9
2022-08-01,7245991,0,9
2022-08-02,7168380,0,9
2022-08-03,7232286,0,9
2022-08-04,7174395,0,9
2022-08-05,7287637,0,9
2022-08-08,7222811,0,9
2022-08-09,7171139,0,9
2022-08-10,7077984,0,9
2022-08-11,7244357,0,9
2022-08-12,7290200,0,9
2022-08-15,7355572,0,9
2022-08-16,7402640,0,9
2022-08-17,7375239,0,9
2022-08-18,7416834,0,9
2022-08-19,7416148,0,9
2022-08-22,7263232,0,9
2022-08-23,7228613,0,9
2022-08-24,7223992,0,9
2022-08-25,7323872,0,9
2022-08-26,7373881,0,9
2022-08-29,7320386,0,9
2022-08-30,7344445,0,9
2022-08-31,7448671,0,9
2022-09-01,7308963,0,9
2022-09-02,7338263,0,9
2022-09-05,7182040,0,9
2022-09-06,7142969,0,9
2022-09-07,7127015,0,9
2022-09-08,7284261,0,9
2022-09-12,7549987,0,9
2022-09-13,7613801,0,9
2022-09-14,7559992,0,9
2022-09-15,7517804,0,9
2022-09-16,7347582,0,9
2022-09-19,7277646,0,9
2022-09-20,7329133,0,9
2022-09-21,7225928,0,9
2022-09-22,7304011,0,9
2022-09-23,7088865,0,9
2022-09-26,6851246,0,9
2022-09-27,6907274,0,9
2022-09-28,6638287,0,9
2022-09-29,6686620,0,9
2022-09-30,6779630,0,9
2022-10-03,6676408,0,9
2022-10-04,6909702,0,9
2022-10-05,6962975,0,9
2022-10-06,7067065,0,9
2022-10-07,7003595,0,9
2022-10-11,6495050,0,9
2022-10-12,6469581,0,9
2022-10-13,6308784,0,9
2022-10-14,6546392,0,9
2022-10-17,6545723,0,9
2022-10-18,6555201,0,9
2022-10-19,6508903,0,9
2022-10-20,6470656,0,9
2022-10-21,6392454,0,9
2022-10-24,6494427,0,9
2022-10-25,6386059,0,9
2022-10-26,6384482,0,9
2022-10-27,6494902,0,9
2022-10-28,6421005,0,9
2022-10-31,6526557,0,9
2022-11-01,6542317,0,9
2022-11-02,6608969,0,9
2022-11-03,6613871,0,9
2022-11-04,6640997,0,9
2022-11-07,6863757,0,9
2022-11-08,6884118,0,9
2022-11-09,7142515,0,9
2022-11-10,7207423,0,9
2022-11-11,7471356,0,9
2022-11-14,7470145,0,9
2022-11-15,7664015,0,9
2022-11-16,7716660,0,9
2022-11-17,7668660,0,9
2022-11-18,7644014,0,9
2022-11-21,7619133,0,9
2022-11-22,7599368,0,9
2022-11-23,7605149,0,9
2022-11-24,7762831,0,9
2022-11-25,7673138,0,9
2022-11-28,7588797,0,9
2022-11-29,7618400,0,9
2022-11-30,7774475,0,9
2022-12-01,7842853,0,9
2022-12-02,7860411,0,9
2022-12-05,7901587,0,9
2022-12-06,7790493,0,9
2022-12-07,7603466,0,9
2022-12-08,7594966,0,9
2022-12-09,7682061,0,9
2022-12-12,7590191,0,9
2022-12-13,7525360,0,9
2022-12-14,7681461,0,9
2022-12-15,7666878,0,9
2022-12-16,7550961,0,9
2022-12-19,7487806,0,9
2022-12-20,7254600,0,9
2022-12-21,7260804,0,9
2022-12-22,7296789,0,9
2022-12-23,7179149,0,9
2022-12-26,7091652,0,9
2022-12-27,7143393,0,9
2022-12-28,6961304,0,9
2022-12-29,6991019,0,9
2022-12-30,6971572,0,9
2023-01-03,7108536,0,9
2023-01-04,7121317,0,9
2023-01-05,7136794,0,9
2023-01-06,7193944,0,9
2023-01-09,7355885,0,9
2023-01-10,7359928,0,9
2023-01-11,7222807,0,9
2023-01-12,7285108,0,9
2023-01-13,7295967,0,9
2023-01-16,7324693,0,9
2023-01-17,7281152,0,9
2023-01-30,7620179,0,9
2023-01-31,7440541,0,9
2023-02-01,7617406,0,9
2023-02-02,7799971,0,9
2023-02-03,7858726,0,9
2023-02-06,7664067,0,9
2023-02-07,7687601,0,9
2023-02-08,7904391,0,9
2023-02-09,7920089,0,9
2023-02-10,7837786,0,9
2023-02-13,7750694,0,9
2023-02-14,7690522,0,9
2023-02-15,7633239,0,9
2023-02-16,7755111,0,9
2023-02-17,7632374,0,9
2023-02-20,7621450,0,9
2023-02-21,7634832,0,9
2023-02-22,7468982,0,9
2023-02-23,7641985,0,9
2023-02-24,7526446,0,9
2023-03-01,7744377,0,9
2023-03-02,7677531,0,9
2023-03-03,7693340,0,9
2023-03-06,7756305,0,9
2023-03-07,7797906,0,9
2023-03-08,7862964,0,9
2023-03-09,7912997,0,9
2023-03-10,7713054,0,9
2023-03-13,7755979,0,9
2023-03-14,7694940,0,9
2023-03-15,7741874,0,9
2023-03-16,7801874,0,9
